Path Cost Node 1,Probability Node 1,CDF Node 1
1.28844,0.00276278,0.00276278
1.32744,0.00304953,0.00581231
1.36644,0.00335763,0.00916994
1.40544,0.00368764,0.0128576
1.44444,0.00403997,0.0168975
1.48344,0.00441491,0.0213125
1.52244,0.0048126,0.0261251
1.56144,0.00523301,0.0313581
1.60044,0.00567594,0.037034
1.63944,0.00614099,0.043175
1.67844,0.00662756,0.0498026
1.71744,0.00713482,0.0569374
1.75644,0.00766172,0.0645991
1.79544,0.00820699,0.0728061
1.83444,0.00876912,0.0815752
1.87344,0.00934636,0.0909216
1.91244,0.00993672,0.100858
1.95144,0.010538,0.111396
1.99044,0.0111477,0.122544
2.02944,0.0117633,0.134307
2.06844,0.0123819,0.146689
2.10744,0.0130005,0.15969
2.14644,0.0136159,0.173306
2.18544,0.0142248,0.18753
2.22444,0.0148238,0.202354
2.26344,0.0154095,0.217764
2.30244,0.0159784,0.233742
2.34144,0.0165269,0.250269
2.38044,0.0170515,0.267321
2.41944,0.0175488,0.284869
2.45844,0.0180156,0.302885
2.49744,0.0184486,0.321333
2.53644,0.0188448,0.340178
2.57544,0.0192015,0.35938
2.61444,0.019516,0.378896
2.65344,0.0197862,0.398682
2.69244,0.0200101,0.418692
2.73144,0.0201859,0.438878
2.77044,0.0203125,0.459191
2.80944,0.0203888,0.479579
2.84844,0.0204143,0.499994
2.88744,0.0203888,0.520383
2.92644,0.0203125,0.540695
2.96544,0.0201859,0.560881
3.00444,0.0200101,0.580891
3.04344,0.0197862,0.600677
3.08244,0.019516,0.620193
3.12144,0.0192015,0.639395
3.16044,0.0188448,0.65824
3.19944,0.0184486,0.676688
3.23844,0.0180156,0.694704
3.27744,0.0175488,0.712253
3.31644,0.0170515,0.729304
3.35544,0.0165269,0.745831
3.39444,0.0159784,0.761809
3.43344,0.0154095,0.777219
3.47244,0.0148238,0.792043
3.51144,0.0142248,0.806267
3.55044,0.0136159,0.819883
3.58944,0.0130005,0.832884
3.62844,0.0123819,0.845266
3.66744,0.0117633,0.857029
3.70644,0.0111477,0.868177
3.74544,0.010538,0.878715
3.78444,0.00993672,0.888652
3.82344,0.00934636,0.897998
3.86244,0.00876912,0.906767
3.90144,0.00820699,0.914974
3.94044,0.00766172,0.922636
3.97944,0.00713482,0.929771
4.01844,0.00662756,0.936398
4.05744,0.00614099,0.942539
4.09644,0.00567594,0.948215
4.13544,0.00523301,0.953448
4.17444,0.0048126,0.958261
4.21344,0.00441491,0.962676
4.25244,0.00403997,0.966716
4.29144,0.00368764,0.970403
4.33044,0.00335763,0.973761
4.36944,0.00304953,0.97681
4.40844,0.00276278,0.979573
4.44744,0.00249674,0.98207
4.48644,0.00225069,0.984321
4.52544,0.00202382,0.986344
4.56444,0.00181527,0.98816
4.60344,0.00162415,0.989784
4.64244,0.00144953,0.991233
4.68144,0.00129044,0.992524
4.72044,0.00114595,0.99367
4.75944,0.0010151,0.994685
4.79844,0.000896943,0.995582
4.83744,0.00079056,0.996372
4.87644,0.000695056,0.997067
4.91544,0.000609563,0.997677
4.95444,0.000533251,0.99821
4.99344,0.000465328,0.998676
5.03244,0.000405043,0.999081
5.07144,0.000351687,0.999432
5.11044,0.000304598,0.999737
5.14944,0.000263155,1
