Path Cost Node 1,Probability Node 1,CDF Node 1
1.06927,2.66631e-05,2.66631e-05
1.07327,2.71469e-05,5.38099e-05
1.07727,2.76384e-05,8.14484e-05
1.08127,2.81379e-05,0.000109586
1.08527,2.86454e-05,0.000138232
1.08927,2.91609e-05,0.000167393
1.09327,2.96847e-05,0.000197077
1.09727,3.02168e-05,0.000227294
1.10127,3.07573e-05,0.000258051
1.10527,3.13064e-05,0.000289358
1.10927,3.18641e-05,0.000321222
1.11327,3.24306e-05,0.000353652
1.11727,3.30059e-05,0.000386658
1.12127,3.35903e-05,0.000420249
1.12527,3.41838e-05,0.000454433
1.12927,3.47865e-05,0.000489219
1.13327,3.53986e-05,0.000524618
1.13727,3.60201e-05,0.000560638
1.14127,3.66513e-05,0.000597289
1.14527,3.72921e-05,0.000634581
1.14927,3.79428e-05,0.000672524
1.15327,3.86035e-05,0.000711127
1.15727,3.92742e-05,0.000750402
1.16127,3.99552e-05,0.000790357
1.16527,4.06465e-05,0.000831003
1.16927,4.13482e-05,0.000872351
1.17327,4.20606e-05,0.000914412
1.17727,4.27837e-05,0.000957196
1.18127,4.35177e-05,0.00100071
1.18527,4.42627e-05,0.00104498
1.18927,4.50188e-05,0.00108999
1.19327,4.57862e-05,0.00113578
1.19727,4.65649e-05,0.00118235
1.20127,4.73553e-05,0.0012297
1.20527,4.81573e-05,0.00127786
1.20927,4.89711e-05,0.00132683
1.21327,4.97969e-05,0.00137663
1.21727,5.06347e-05,0.00142726
1.22127,5.14849e-05,0.00147875
1.22527,5.23474e-05,0.00153109
1.22927,5.32224e-05,0.00158432
1.23327,5.41101e-05,0.00163843
1.23727,5.50107e-05,0.00169344
1.24127,5.59242e-05,0.00174936
1.24527,5.68509e-05,0.00180621
1.24927,5.77908e-05,0.001864
1.25327,5.87442e-05,0.00192275
1.25727,5.97111e-05,0.00198246
1.26127,6.06917e-05,0.00204315
1.26527,6.16863e-05,0.00210484
1.26927,6.26949e-05,0.00216753
1.27327,6.37177e-05,0.00223125
1.27727,6.47548e-05,0.002296
1.28127,6.58064e-05,0.00236181
1.28527,6.68728e-05,0.00242868
1.28927,6.79539e-05,0.00249664
1.29327,6.90501e-05,0.00256569
1.29727,7.01614e-05,0.00263585
1.30127,7.1288e-05,0.00270714
1.30527,7.24301e-05,0.00277957
1.30927,7.35878e-05,0.00285315
1.31327,7.47614e-05,0.00292792
1.31727,7.5951e-05,0.00300387
1.32127,7.71566e-05,0.00308102
1.32527,7.83787e-05,0.0031594
1.32927,7.96172e-05,0.00323902
1.33327,8.08723e-05,0.00331989
1.33727,8.21443e-05,0.00340204
1.34127,8.34333e-05,0.00348547
1.34527,8.47395e-05,0.00357021
1.34927,8.6063e-05,0.00365627
1.35327,8.74041e-05,0.00374367
1.35727,8.87628e-05,0.00383244
1.36127,9.01394e-05,0.00392258
1.36527,9.15341e-05,0.00401411
1.36927,9.2947e-05,0.00410706
1.37327,9.43784e-05,0.00420144
1.37727,9.58283e-05,0.00429726
1.38127,9.7297e-05,0.00439456
1.38527,9.87846e-05,0.00449335
1.38927,0.000100291,0.00459364
1.39327,0.000101817,0.00469546
1.39727,0.000103363,0.00479882
1.40127,0.000104928,0.00490375
1.40527,0.000106514,0.00501026
1.40927,0.000108119,0.00511838
1.41327,0.000109744,0.00522812
1.41727,0.00011139,0.00533951
1.42127,0.000113057,0.00545257
1.42527,0.000114744,0.00556731
1.42927,0.000116452,0.00568377
1.43327,0.000118182,0.00580195
1.43727,0.000119932,0.00592188
1.44127,0.000121705,0.00604358
1.44527,0.000123499,0.00616708
1.44927,0.000125315,0.0062924
1.45327,0.000127153,0.00641955
1.45727,0.000129014,0.00654856
1.46127,0.000130897,0.00667946
1.46527,0.000132802,0.00681226
1.46927,0.000134731,0.00694699
1.47327,0.000136683,0.00708368
1.47727,0.000138658,0.00722233
1.48127,0.000140656,0.00736299
1.48527,0.000142678,0.00750567
1.48927,0.000144724,0.00765039
1.49327,0.000146794,0.00779719
1.49727,0.000148889,0.00794608
1.50127,0.000151007,0.00809708
1.50527,0.000153151,0.00825023
1.50927,0.000155319,0.00840555
1.51327,0.000157512,0.00856306
1.51727,0.00015973,0.00872279
1.52127,0.000161974,0.00888477
1.52527,0.000164244,0.00904901
1.52927,0.000166539,0.00921555
1.53327,0.00016886,0.00938441
1.53727,0.000171208,0.00955562
1.54127,0.000173582,0.0097292
1.54527,0.000175982,0.00990518
1.54927,0.000178409,0.0100836
1.55327,0.000180863,0.0102645
1.55727,0.000183345,0.0104478
1.56127,0.000185853,0.0106337
1.56527,0.00018839,0.010822
1.56927,0.000190953,0.011013
1.57327,0.000193545,0.0112065
1.57727,0.000196165,0.0114027
1.58127,0.000198814,0.0116015
1.58527,0.00020149,0.011803
1.58927,0.000204196,0.0120072
1.59327,0.00020693,0.0122141
1.59727,0.000209694,0.0124238
1.60127,0.000212486,0.0126363
1.60527,0.000215308,0.0128516
1.60927,0.00021816,0.0130698
1.61327,0.000221042,0.0132908
1.61727,0.000223953,0.0135148
1.62127,0.000226895,0.0137417
1.62527,0.000229867,0.0139715
1.62927,0.00023287,0.0142044
1.63327,0.000235903,0.0144403
1.63727,0.000238968,0.0146793
1.64127,0.000242063,0.0149213
1.64527,0.00024519,0.0151665
1.64927,0.000248348,0.0154149
1.65327,0.000251537,0.0156664
1.65727,0.000254759,0.0159212
1.66127,0.000258012,0.0161792
1.66527,0.000261298,0.0164405
1.66927,0.000264616,0.0167051
1.67327,0.000267966,0.0169731
1.67727,0.00027135,0.0172444
1.68127,0.000274765,0.0175192
1.68527,0.000278214,0.0177974
1.68927,0.000281696,0.0180791
1.69327,0.000285212,0.0183643
1.69727,0.000288761,0.0186531
1.70127,0.000292343,0.0189454
1.70527,0.000295959,0.0192414
1.70927,0.000299609,0.019541
1.71327,0.000303294,0.0198443
1.71727,0.000307012,0.0201513
1.72127,0.000310765,0.0204621
1.72527,0.000314553,0.0207766
1.72927,0.000318375,0.021095
1.73327,0.000322232,0.0214172
1.73727,0.000326124,0.0217433
1.74127,0.000330051,0.0220734
1.74527,0.000334014,0.0224074
1.74927,0.000338011,0.0227454
1.75327,0.000342045,0.0230875
1.75727,0.000346114,0.0234336
1.76127,0.000350219,0.0237838
1.76527,0.000354359,0.0241382
1.76927,0.000358536,0.0244967
1.77327,0.000362749,0.0248594
1.77727,0.000366998,0.0252264
1.78127,0.000371284,0.0255977
1.78527,0.000375606,0.0259733
1.78927,0.000379965,0.0263533
1.79327,0.000384361,0.0267377
1.79727,0.000388793,0.0271264
1.80127,0.000393263,0.0275197
1.80527,0.000397769,0.0279175
1.80927,0.000402313,0.0283198
1.81327,0.000406894,0.0287267
1.81727,0.000411512,0.0291382
1.82127,0.000416167,0.0295544
1.82527,0.000420861,0.0299752
1.82927,0.000425591,0.0304008
1.83327,0.00043036,0.0308312
1.83727,0.000435166,0.0312663
1.84127,0.00044001,0.0317064
1.84527,0.000444892,0.0321512
1.84927,0.000449812,0.0326011
1.85327,0.00045477,0.0330558
1.85727,0.000459766,0.0335156
1.86127,0.0004648,0.0339804
1.86527,0.000469873,0.0344503
1.86927,0.000474983,0.0349252
1.87327,0.000480132,0.0354054
1.87727,0.00048532,0.0358907
1.88127,0.000490545,0.0363812
1.88527,0.000495809,0.0368771
1.88927,0.000501112,0.0373782
1.89327,0.000506453,0.0378846
1.89727,0.000511833,0.0383965
1.90127,0.000517251,0.0389137
1.90527,0.000522707,0.0394364
1.90927,0.000528203,0.0399646
1.91327,0.000533736,0.0404983
1.91727,0.000539308,0.0410377
1.92127,0.000544919,0.0415826
1.92527,0.000550569,0.0421331
1.92927,0.000556257,0.0426894
1.93327,0.000561983,0.0432514
1.93727,0.000567748,0.0438191
1.94127,0.000573552,0.0443927
1.94527,0.000579393,0.0449721
1.94927,0.000585274,0.0455574
1.95327,0.000591193,0.0461485
1.95727,0.00059715,0.0467457
1.96127,0.000603145,0.0473488
1.96527,0.000609179,0.047958
1.96927,0.000615251,0.0485733
1.97327,0.000621361,0.0491946
1.97727,0.000627509,0.0498221
1.98127,0.000633695,0.0504558
1.98527,0.000639919,0.0510958
1.98927,0.000646181,0.0517419
1.99327,0.000652481,0.0523944
1.99727,0.000658818,0.0530532
2.00127,0.000665193,0.0537184
2.00527,0.000671606,0.05439
2.00927,0.000678056,0.0550681
2.01327,0.000684543,0.0557526
2.01727,0.000691068,0.0564437
2.02127,0.000697629,0.0571413
2.02527,0.000704228,0.0578456
2.02927,0.000710863,0.0585564
2.03327,0.000717535,0.059274
2.03727,0.000724244,0.0599982
2.04127,0.000730989,0.0607292
2.04527,0.00073777,0.061467
2.04927,0.000744587,0.0622115
2.05327,0.00075144,0.062963
2.05727,0.000758329,0.0637213
2.06127,0.000765254,0.0644866
2.06527,0.000772214,0.0652588
2.06927,0.000779209,0.066038
2.07327,0.00078624,0.0668242
2.07727,0.000793305,0.0676175
2.08127,0.000800405,0.0684179
2.08527,0.000807539,0.0692255
2.08927,0.000814708,0.0700402
2.09327,0.000821911,0.0708621
2.09727,0.000829147,0.0716912
2.10127,0.000836417,0.0725277
2.10527,0.000843721,0.0733714
2.10927,0.000851058,0.0742224
2.11327,0.000858427,0.0750809
2.11727,0.000865829,0.0759467
2.12127,0.000873264,0.07682
2.12527,0.000880731,0.0777007
2.12927,0.000888229,0.0785889
2.13327,0.000895759,0.0794847
2.13727,0.000903321,0.080388
2.14127,0.000910913,0.0812989
2.14527,0.000918537,0.0822174
2.14927,0.00092619,0.0831436
2.15327,0.000933874,0.0840775
2.15727,0.000941588,0.0850191
2.16127,0.000949331,0.0859684
2.16527,0.000957104,0.0869255
2.16927,0.000964905,0.0878904
2.17327,0.000972735,0.0888632
2.17727,0.000980593,0.0898438
2.18127,0.000988479,0.0908322
2.18527,0.000996393,0.0918286
2.18927,0.00100433,0.092833
2.19327,0.0010123,0.0938453
2.19727,0.0010203,0.0948656
2.20127,0.00102832,0.0958939
2.20527,0.00103636,0.0969303
2.20927,0.00104443,0.0979747
2.21327,0.00105253,0.0990272
2.21727,0.00106065,0.100088
2.22127,0.0010688,0.101157
2.22527,0.00107696,0.102234
2.22927,0.00108516,0.103319
2.23327,0.00109337,0.104412
2.23727,0.00110161,0.105514
2.24127,0.00110987,0.106624
2.24527,0.00111815,0.107742
2.24927,0.00112645,0.108868
2.25327,0.00113478,0.110003
2.25727,0.00114312,0.111146
2.26127,0.00115149,0.112298
2.26527,0.00115987,0.113457
2.26927,0.00116827,0.114626
2.27327,0.00117669,0.115802
2.27727,0.00118513,0.116988
2.28127,0.00119359,0.118181
2.28527,0.00120206,0.119383
2.28927,0.00121055,0.120594
2.29327,0.00121906,0.121813
2.29727,0.00122758,0.12304
2.30127,0.00123611,0.124277
2.30527,0.00124467,0.125521
2.30927,0.00125323,0.126774
2.31327,0.00126181,0.128036
2.31727,0.0012704,0.129307
2.32127,0.00127901,0.130586
2.32527,0.00128762,0.131873
2.32927,0.00129625,0.13317
2.33327,0.00130489,0.134474
2.33727,0.00131354,0.135788
2.34127,0.00132219,0.13711
2.34527,0.00133086,0.138441
2.34927,0.00133954,0.139781
2.35327,0.00134822,0.141129
2.35727,0.00135691,0.142486
2.36127,0.00136561,0.143851
2.36527,0.00137432,0.145226
2.36927,0.00138303,0.146609
2.37327,0.00139174,0.148
2.37727,0.00140046,0.149401
2.38127,0.00140919,0.15081
2.38527,0.00141791,0.152228
2.38927,0.00142664,0.153655
2.39327,0.00143538,0.15509
2.39727,0.00144411,0.156534
2.40127,0.00145284,0.157987
2.40527,0.00146158,0.159448
2.40927,0.00147031,0.160919
2.41327,0.00147904,0.162398
2.41727,0.00148778,0.163886
2.42127,0.00149651,0.165382
2.42527,0.00150523,0.166887
2.42927,0.00151395,0.168401
2.43327,0.00152267,0.169924
2.43727,0.00153138,0.171455
2.44127,0.00154009,0.172995
2.44527,0.00154879,0.174544
2.44927,0.00155749,0.176102
2.45327,0.00156618,0.177668
2.45727,0.00157485,0.179243
2.46127,0.00158352,0.180826
2.46527,0.00159218,0.182418
2.46927,0.00160083,0.184019
2.47327,0.00160947,0.185629
2.47727,0.0016181,0.187247
2.48127,0.00162671,0.188874
2.48527,0.00163532,0.190509
2.48927,0.0016439,0.192153
2.49327,0.00165248,0.193805
