Path Cost Node 1,Probability Node 1,CDF Node 1
0.437469,0.01,0.01
0.447469,0.01,0.02
0.457469,0.01,0.03
0.467469,0.01,0.04
0.477469,0.01,0.05
0.487469,0.01,0.06
0.497469,0.01,0.07
0.507469,0.01,0.08
0.517469,0.01,0.09
0.527469,0.01,0.1
0.537469,0.01,0.11
0.547469,0.01,0.12
0.557469,0.01,0.13
0.567469,0.01,0.14
0.577469,0.01,0.15
0.587469,0.01,0.16
0.597469,0.01,0.17
0.607469,0.01,0.18
0.617469,0.01,0.19
0.627469,0.01,0.2
0.637469,0.01,0.21
0.647469,0.01,0.22
0.657469,0.01,0.23
0.667469,0.01,0.24
0.677469,0.01,0.25
0.687469,0.01,0.26
0.697469,0.01,0.27
0.707469,0.01,0.28
0.717469,0.01,0.29
0.727469,0.01,0.3
0.737469,0.01,0.31
0.747469,0.01,0.32
0.757469,0.01,0.33
0.767469,0.01,0.34
0.777469,0.01,0.35
0.787469,0.01,0.36
0.797469,0.01,0.37
0.807469,0.01,0.38
0.817469,0.01,0.39
0.827469,0.01,0.4
0.837469,0.01,0.41
0.847469,0.01,0.42
0.857469,0.01,0.43
0.867469,0.01,0.44
0.877469,0.01,0.45
0.887469,0.01,0.46
0.897469,0.01,0.47
0.907469,0.01,0.48
0.917469,0.01,0.49
0.927469,0.01,0.5
0.937469,0.01,0.51
0.947469,0.01,0.52
0.957469,0.01,0.53
0.967469,0.01,0.54
0.977469,0.01,0.55
0.987469,0.01,0.56
0.997469,0.01,0.57
1.00747,0.01,0.58
1.01747,0.01,0.59
1.02747,0.01,0.6
1.03747,0.01,0.61
1.04747,0.01,0.62
1.05747,0.01,0.63
1.06747,0.01,0.64
1.07747,0.01,0.65
1.08747,0.01,0.66
1.09747,0.01,0.67
1.10747,0.01,0.68
1.11747,0.01,0.69
1.12747,0.01,0.7
1.13747,0.01,0.71
1.14747,0.01,0.72
1.15747,0.01,0.73
1.16747,0.01,0.74
1.17747,0.01,0.75
1.18747,0.01,0.76
1.19747,0.01,0.77
1.20747,0.01,0.78
1.21747,0.01,0.79
1.22747,0.01,0.8
1.23747,0.01,0.81
1.24747,0.01,0.82
1.25747,0.01,0.83
1.26747,0.01,0.84
1.27747,0.01,0.85
1.28747,0.01,0.86
1.29747,0.01,0.87
1.30747,0.01,0.88
1.31747,0.01,0.89
1.32747,0.01,0.9
1.33747,0.01,0.91
1.34747,0.01,0.92
1.35747,0.01,0.93
1.36747,0.01,0.94
1.37747,0.01,0.95
1.38747,0.01,0.96
1.39747,0.01,0.97
1.40747,0.01,0.98
1.41747,0.01,0.99
1.42747,0.01,1
